"Capítulo (SH2) - Código","Capítulo (SH2) - Descrição","Posição (SH4) - Código","Posição (SH4) - Descrição","Subposição (SH6) - Código","Subposição (SH6) - Descrição","Código NCM","Descrição NCM"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220422","Outros vinhos; mostos de uvas cuja fermentação tenha sido impedida ou interrompida por adição de álcool, em recipientes de capacidade superior a 2 litros, mas não superior a 10 litros","22042211","Vinhos em recipientes de capacidade não superior a 5 litros"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220422","Outros vinhos; mostos de uvas cuja fermentação tenha sido impedida ou interrompida por adição de álcool, em recipientes de capacidade superior a 2 litros, mas não superior a 10 litros","22042219","Vinhos em recipientes de capacidade superior a 5 litros"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220422","Outros vinhos; mostos de uvas cuja fermentação tenha sido impedida ou interrompida por adição de álcool, em recipientes de capacidade superior a 2 litros, mas não superior a 10 litros","22042220","Mostos de uvas, em recipientes de capacidade superior a 2 litros, mas não superior a 10 litros"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220429","Outros vinhos; mostos de uvas, cuja fermentação tenha sido impedida por adição de álcool, em recipientes com capacidade > 2 litros","22042910","Vinhos em recipientes de capacidade superior a 10 litros"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220410","Vinhos espumantes e espumosos","22041010","Vinhos espumantes e vinhos espumosos, tipo champanha (champagne)"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220410","Vinhos espumantes e espumosos","22041090","Outros vinhos de uvas frescas, espumantes e espumosos"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220421","Outros vinhos; mostos de uvas, cuja fermentação tenha sido impedida por adição de álcool, em recipientes com capacidade <= 2 litros","22042100","Outros vinhos, mostos de uvas, fermentados, impedidos álcool, em recipientes de capacidade não superior a 2 litros"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220429","Outros vinhos; mostos de uvas, cuja fermentação tenha sido impedida por adição de álcool, em recipientes com capacidade > 2 litros","22042900","Outros vinhos, mostos de uvas, fermentação impedida por adição de álcool"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220429","Outros vinhos; mostos de uvas, cuja fermentação tenha sido impedida por adição de álcool, em recipientes com capacidade > 2 litros","22042911","Vinhos em recipientes de capacidade não superior a 5 litros"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220429","Outros vinhos; mostos de uvas, cuja fermentação tenha sido impedida por adição de álcool, em recipientes com capacidade > 2 litros","22042919","Vinhos em recipientes de capacidade superior a 5 litros"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220429","Outros vinhos; mostos de uvas, cuja fermentação tenha sido impedida por adição de álcool, em recipientes com capacidade > 2 litros","22042920","Mostos"
"22","Bebidas, líquidos alcoólicos e vinagres","2204","Vinhos de uvas frescas, incluídos os vinhos enriquecidos com álcool; mostos de uvas, excluídos os da posição 2009","220430","Outros mostos de uvas parcialmente fermentados","22043000","Outros mostos de uvas"
